aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
baba	1577552
tcehy	1293451
brk-a	1067983
tsla	1318605
v	1403161
tsm	1046179
wmt	104169
jnj	200406
jpm	19617
pg	80424
ma	1141391
spy	884394
nvda	1045810
unh	731766
lvmuy	824046
hd	354950
dis	1744489
idcby	1445468
pypl	1633917
bac	70858
vz	732712
cmcsa	1166691
ko	21344
adbe	796343
crm	1108524
nflx	1065280
nke	320187
t	732717
pfe	78003
mrk	310158
nvs	1114448
pep	77476
orcl	1341439
tm	1094517
intc	50863
cichy	1445474
abt	1800
abbv	1551152
csco	858877
tmo	97745
cvx	93410
asml	937966
orcl	1341439
xom	34088
cost	909832
cihky	1495688
acgby	1501437
mcd	63908
qcom	804328
pdd	1737806
tmus	1283699
ul	217410
un	110390
acn	1467373
avgo	1730168
dhr	313616
mdt	1613103
nvo	353278
lfc	1268896
nee	753308
ups	1090727
bhp	811809
hon	773840
txn	97476
bmy	14272
sap	1000184
unp	100885
aagiy	1511634
rds-a	1306965
lly	59478
jd	1549802
azn	901832
bud	1668717
lin	1707925
bachy	1378999
chtr	1091667
amgn	318154
zm	1585521
sny	1121404
chl	1117795
rtntf	887028
shop	1594805
ba	12927
sftby	1065521
pm	1413329
c	831001
bbl	1171264
wfc	72971
tot	879764
ry	1000275
low	60667
qqq	1067839
sne	313838
sbux	829224
ms	895421
ptr	1108329
rtx	101829
ibm	51143
hsbc	1089113
blk	1364742
lmt	936468
amd	2488
hdb	1144967
amt	1053507
hesay	1436949
mmm	66740
now	1373715
td	947263
axp	4962
sq	1512673
cat	18230
schw	316709
chdry	1450488
gsk	1131399
intu	896878
deo	835403
ge	40545
fis	1136893
tgt	27419
ppruy	1445465
uber	1543151
el	1001250
cvs	64803
syk	310764
se	1703399
isrg	1035267
eadsy	1378580
bkng	1075531
snow	1640147
rio	863064
mdlz	1103982
frcoy	1446595
bti	1303523
gs	886982
spgi	64040
de	315189
cni	16868
sbgsy	923734
fisv	798354
antm	1156039
aiquy	1161167
zts	1555280
cta-pa	30554
fdx	1048911
tjx	109198
mo	764180
ci	1739940
adp	8670
gild	882095
amat	6951
meli	1099590
chgcy	1453934
vale	917851
dnngy	1679771
snp	1123658
byddy	1445162
pld	1045609
nio	1736541
dmlry	1067318
cl	21665
bp	313807
cci	1051470
duk	1326160
mu	723125
csx	277948
beke	1809587
cb	896159
snap	1564408
njdcy	1158967
usb	36104
dkily	1446519
itw	49826
shw	89800
kddiy	1106215
bdx	10795
ntes	1110646
tfc	92230
shecy	1442651
gm	1467858
bnpqy	310732
d	715957
enb	895728
lrcx	707549
pbr	1119639
so	92122
infy	1067491
safry	1364012
bam	1001085
cme	1156375
hkxcy	1445476
ecl	31462
eqix	1101239
esloy	1085922
apd	2969
nsc	702165
rbgly	1420798
bns	9631
pnc	713676
vmw	1124610
adsk	769397
atvi	718877
vcisy	1065198
gpn	1123360
pstvy	1689565
mmc	62709
ice	1571949
mufg	67088
vrtx	875320
olcly	1545460
wbk	719245
tak	1395064
ceo	1095595
abb	1091587
pltr	1321655
regn	872589
dg	29534
team	1650372
hum	49071
mraay	1450468
ntoiy	1436791
csuay	1445470
ew	1099800
eqnr	1140625
race	1648416
pgr	80661
ubs	1610520
noc	1133421
hca	860730
mco	1059556
dell	1571996
